h3_index,date,count,elevation,elevation_std
874468428ffffff,2022-11-02,1,112.0,0.5671870671813082
874468510ffffff,2020-11-14,6,52.0,-1.982643013926966
874468510ffffff,2021-11-27,33,52.0,-1.982643013926966
874468514ffffff,2019-11-23,9,40.0,-2.492609030148621
874468514ffffff,2020-10-17,6,40.0,-2.492609030148621
874468514ffffff,2021-09-25,25,40.0,-2.492609030148621
874468514ffffff,2021-11-27,6,40.0,-2.492609030148621
874468526ffffff,2018-06-23,9,40.0,-2.492609030148621
874468526ffffff,2022-06-12,3,40.0,-2.492609030148621
874468532ffffff,2019-06-22,2,39.0,-2.535106198167092
874468532ffffff,2019-11-23,2,39.0,-2.535106198167092
874468532ffffff,2020-10-17,6,39.0,-2.535106198167092
874468533ffffff,2018-06-23,18,44.0,-2.3226203580747358
874468533ffffff,2018-11-10,34,44.0,-2.3226203580747358
874468533ffffff,2019-06-22,12,44.0,-2.3226203580747358
874468533ffffff,2019-11-23,22,44.0,-2.3226203580747358
874468533ffffff,2020-10-17,22,44.0,-2.3226203580747358
874468533ffffff,2020-11-14,8,44.0,-2.3226203580747358
874468533ffffff,2021-06-12,6,44.0,-2.3226203580747358
874468533ffffff,2021-11-27,17,44.0,-2.3226203580747358
874468533ffffff,2022-06-25,10,44.0,-2.3226203580747358
874468533ffffff,2022-11-02,11,44.0,-2.3226203580747358
874468535ffffff,2022-06-12,1,42.0,-2.4076146941116785
874468801ffffff,2019-10-12,2,58.0,-1.7276600058161387
874468801ffffff,2019-10-27,12,58.0,-1.7276600058161387
874468801ffffff,2019-11-24,4,58.0,-1.7276600058161387
874468801ffffff,2019-12-07,18,58.0,-1.7276600058161387
874468801ffffff,2020-02-01,6,58.0,-1.7276600058161387
874468801ffffff,2020-06-11,7,58.0,-1.7276600058161387
874468801ffffff,2021-09-18,1,58.0,-1.7276600058161387
874468801ffffff,2021-10-16,1,58.0,-1.7276600058161387
87446882affffff,2018-12-01,10,67.0,-1.3451854936498975
87446882affffff,2019-02-23,3,67.0,-1.3451854936498975
87446882affffff,2019-09-28,33,67.0,-1.3451854936498975
87446882affffff,2019-10-12,37,67.0,-1.3451854936498975
87446882affffff,2019-10-27,59,67.0,-1.3451854936498975
87446882affffff,2019-11-24,26,67.0,-1.3451854936498975
87446882affffff,2019-12-07,13,67.0,-1.3451854936498975
87446882affffff,2020-02-01,9,67.0,-1.3451854936498975
87446882affffff,2020-04-07,31,67.0,-1.3451854936498975
87446882affffff,2020-06-11,28,67.0,-1.3451854936498975
87446882affffff,2020-08-22,23,67.0,-1.3451854936498975
87446882affffff,2020-12-05,5,67.0,-1.3451854936498975
87446882affffff,2021-07-18,34,67.0,-1.3451854936498975
87446882affffff,2021-09-18,45,67.0,-1.3451854936498975
87446882affffff,2021-10-16,64,67.0,-1.3451854936498975
87446882affffff,2022-05-28,20,67.0,-1.3451854936498975
87446882affffff,2022-08-27,54,67.0,-1.3451854936498975
87446882affffff,2022-09-24,9,67.0,-1.3451854936498975
874468858ffffff,2018-11-03,13,84.0,-0.6227336373358864
874468858ffffff,2022-06-04,5,84.0,-0.6227336373358864
874468858ffffff,2023-03-25,1,84.0,-0.6227336373358864
874468858ffffff,2023-04-22,18,84.0,-0.6227336373358864
87446885cffffff,2018-11-03,42,97.0,-0.07027045309576034
87446885cffffff,2021-06-26,23,97.0,-0.07027045309576034
87446885cffffff,2021-11-13,40,97.0,-0.07027045309576034
87446885cffffff,2022-06-04,40,97.0,-0.07027045309576034
87446885cffffff,2023-03-25,12,97.0,-0.07027045309576034
87446885cffffff,2023-04-22,18,97.0,-0.07027045309576034
87446885cffffff,2024-02-24,3,97.0,-0.07027045309576034
87446885cffffff,2024-03-23,14,97.0,-0.07027045309576034
8744688e2ffffff,2018-04-28,4,93.0,-0.2402591251696453
8744688e2ffffff,2018-07-14,35,93.0,-0.2402591251696453
8744688e2ffffff,2018-10-28,52,93.0,-0.2402591251696453
8744688e2ffffff,2018-11-23,48,93.0,-0.2402591251696453
8744688e2ffffff,2019-01-05,5,93.0,-0.2402591251696453
8744688e2ffffff,2019-02-01,2,93.0,-0.2402591251696453
8744688e2ffffff,2019-03-10,9,93.0,-0.2402591251696453
8744688e2ffffff,2019-04-20,24,93.0,-0.2402591251696453
8744688e2ffffff,2019-06-26,40,93.0,-0.2402591251696453
8744688e2ffffff,2019-10-20,55,93.0,-0.2402591251696453
8744688e2ffffff,2019-11-02,24,93.0,-0.2402591251696453
8744688e2ffffff,2019-11-27,13,93.0,-0.2402591251696453
8744688e2ffffff,2020-01-19,36,93.0,-0.2402591251696453
8744688e2ffffff,2020-03-07,15,93.0,-0.2402591251696453
8744688e2ffffff,2020-04-25,28,93.0,-0.2402591251696453
8744688e2ffffff,2020-05-30,62,93.0,-0.2402591251696453
8744688e2ffffff,2020-09-12,28,93.0,-0.2402591251696453
8744688e2ffffff,2020-10-11,36,93.0,-0.2402591251696453
8744688e2ffffff,2021-01-16,17,93.0,-0.2402591251696453
8744688e2ffffff,2021-03-20,4,93.0,-0.2402591251696453
8744688e2ffffff,2021-07-10,58,93.0,-0.2402591251696453
8744688e2ffffff,2021-10-03,43,93.0,-0.2402591251696453
8744688e2ffffff,2021-11-21,32,93.0,-0.2402591251696453
8744688e2ffffff,2021-12-21,16,93.0,-0.2402591251696453
8744688e2ffffff,2023-04-30,35,93.0,-0.2402591251696453
8744688e3ffffff,2018-04-28,2,92.0,-0.2827562931881165
8744688e3ffffff,2018-07-14,3,92.0,-0.2827562931881165
8744688e3ffffff,2018-10-28,2,92.0,-0.2827562931881165
8744688e3ffffff,2018-11-23,3,92.0,-0.2827562931881165
8744688e3ffffff,2019-06-26,3,92.0,-0.2827562931881165
8744688e3ffffff,2019-10-20,17,92.0,-0.2827562931881165
8744688e3ffffff,2019-11-02,11,92.0,-0.2827562931881165
8744688e3ffffff,2019-11-27,4,92.0,-0.2827562931881165
8744688e3ffffff,2020-01-19,27,92.0,-0.2827562931881165
8744688e3ffffff,2020-03-07,1,92.0,-0.2827562931881165
8744688e3ffffff,2020-05-30,10,92.0,-0.2827562931881165
8744688e3ffffff,2020-09-12,4,92.0,-0.2827562931881165
8744688e3ffffff,2020-10-11,7,92.0,-0.2827562931881165
8744688e3ffffff,2021-07-10,3,92.0,-0.2827562931881165
8744688e3ffffff,2021-10-03,5,92.0,-0.2827562931881165
8744688e3ffffff,2021-11-21,2,92.0,-0.2827562931881165
8744688e3ffffff,2023-04-30,2,92.0,-0.2827562931881165
874468b08ffffff,2021-01-23,2,100.0,0.05722105095965337
874468b0affffff,2020-11-08,5,129.0,1.2896389234953192
874468b0affffff,2021-01-23,11,129.0,1.2896389234953192
874468b0affffff,2021-10-24,4,129.0,1.2896389234953192
874468b0effffff,2018-05-12,2,124.0,1.077153083402963
874468b0effffff,2019-03-23,1,124.0,1.077153083402963
874468b0effffff,2020-02-22,6,124.0,1.077153083402963
874468b0effffff,2021-01-23,15,124.0,1.077153083402963
874468b0effffff,2021-10-24,20,124.0,1.077153083402963
874468b0effffff,2022-07-26,10,124.0,1.077153083402963
874468b19ffffff,2020-02-22,4,131.0,1.3746332595322617
874468b19ffffff,2020-11-08,1,131.0,1.3746332595322617
874468b1dffffff,2018-05-12,6,117.0,0.7796729072736645
874468b1dffffff,2019-03-23,2,117.0,0.7796729072736645
874468b1dffffff,2020-02-22,11,117.0,0.7796729072736645
874468b1dffffff,2021-01-23,9,117.0,0.7796729072736645
874468b53ffffff,2018-09-16,24,95.0,-0.1552647891327028
874468b75ffffff,2019-02-17,2,126.0,1.1621474194399055
874468c92ffffff,2018-11-10,42,28.0,-3.002575046370276
874468c92ffffff,2019-11-09,2,28.0,-3.002575046370276
874468c92ffffff,2020-10-17,22,28.0,-3.002575046370276
874468c92ffffff,2021-09-25,34,28.0,-3.002575046370276
874468c92ffffff,2022-06-12,5,28.0,-3.002575046370276
874468c9bffffff,2018-06-23,2,33.0,-2.7900892062779197
874468c9bffffff,2022-06-12,4,33.0,-2.7900892062779197
874468d93ffffff,2019-06-08,32,29.0,-2.9600778783518042
874468d93ffffff,2019-11-09,29,29.0,-2.9600778783518042
87446c20cffffff,2018-04-29,2,32.0,-2.832586374296391
87446d440ffffff,2018-09-30,19,123.0,1.0346559153844919
87446d440ffffff,2018-12-06,2,123.0,1.0346559153844919
87446d440ffffff,2018-12-23,1,123.0,1.0346559153844919
87446d440ffffff,2019-11-03,19,123.0,1.0346559153844919
87446d440ffffff,2020-04-01,1,123.0,1.0346559153844919
87446d440ffffff,2020-04-16,1,123.0,1.0346559153844919
87446d440ffffff,2020-05-02,10,123.0,1.0346559153844919
87446d440ffffff,2020-10-03,14,123.0,1.0346559153844919
87446d440ffffff,2020-10-08,6,123.0,1.0346559153844919
87446d440ffffff,2020-12-27,1,123.0,1.0346559153844919
87446d440ffffff,2021-01-01,26,123.0,1.0346559153844919
87446d440ffffff,2021-01-20,10,123.0,1.0346559153844919
87446d440ffffff,2021-03-28,4,123.0,1.0346559153844919
87446d440ffffff,2021-06-22,2,123.0,1.0346559153844919
87446d440ffffff,2021-11-14,23,123.0,1.0346559153844919
87446d440ffffff,2021-12-05,37,123.0,1.0346559153844919
87446d440ffffff,2022-01-01,10,123.0,1.0346559153844919
87446d440ffffff,2022-04-30,2,123.0,1.0346559153844919
87446d440ffffff,2022-09-10,49,123.0,1.0346559153844919
87446d440ffffff,2023-02-12,5,123.0,1.0346559153844919
87446d440ffffff,2023-11-24,7,123.0,1.0346559153844919
87446d440ffffff,2023-12-22,12,123.0,1.0346559153844919
87446d440ffffff,2024-01-06,16,123.0,1.0346559153844919
87446d440ffffff,2024-04-07,2,123.0,1.0346559153844919
87446d440ffffff,2024-09-07,25,123.0,1.0346559153844919
87446d441ffffff,2018-05-23,5,110.0,0.4821927311443657
87446d441ffffff,2018-09-23,5,110.0,0.4821927311443657
87446d441ffffff,2018-09-30,14,110.0,0.4821927311443657
87446d441ffffff,2018-10-20,6,110.0,0.4821927311443657
87446d441ffffff,2018-11-11,2,110.0,0.4821927311443657
87446d441ffffff,2018-12-17,1,110.0,0.4821927311443657
87446d441ffffff,2019-03-08,2,110.0,0.4821927311443657
87446d441ffffff,2019-06-29,9,110.0,0.4821927311443657
87446d441ffffff,2019-10-19,7,110.0,0.4821927311443657
87446d441ffffff,2019-11-03,7,110.0,0.4821927311443657
87446d441ffffff,2019-11-18,5,110.0,0.4821927311443657
87446d441ffffff,2020-02-08,3,110.0,0.4821927311443657
87446d441ffffff,2020-03-08,4,110.0,0.4821927311443657
87446d441ffffff,2020-03-18,1,110.0,0.4821927311443657
87446d441ffffff,2020-04-06,7,110.0,0.4821927311443657
87446d441ffffff,2020-04-20,8,110.0,0.4821927311443657
87446d441ffffff,2020-05-02,2,110.0,0.4821927311443657
87446d441ffffff,2020-05-10,3,110.0,0.4821927311443657
87446d441ffffff,2020-05-20,10,110.0,0.4821927311443657
87446d441ffffff,2020-06-03,1,110.0,0.4821927311443657
87446d441ffffff,2020-06-27,3,110.0,0.4821927311443657
87446d441ffffff,2020-07-28,2,110.0,0.4821927311443657
87446d441ffffff,2020-09-06,3,110.0,0.4821927311443657
87446d441ffffff,2020-09-25,22,110.0,0.4821927311443657
87446d441ffffff,2020-10-03,3,110.0,0.4821927311443657
87446d441ffffff,2020-12-03,2,110.0,0.4821927311443657
87446d441ffffff,2020-12-15,2,110.0,0.4821927311443657
87446d441ffffff,2020-12-24,13,110.0,0.4821927311443657
87446d441ffffff,2021-01-09,4,110.0,0.4821927311443657
87446d441ffffff,2021-01-20,1,110.0,0.4821927311443657
87446d441ffffff,2021-01-27,10,110.0,0.4821927311443657
87446d441ffffff,2021-03-03,3,110.0,0.4821927311443657
87446d441ffffff,2021-03-28,9,110.0,0.4821927311443657
87446d441ffffff,2021-06-02,7,110.0,0.4821927311443657
87446d441ffffff,2021-06-22,3,110.0,0.4821927311443657
87446d441ffffff,2021-07-21,3,110.0,0.4821927311443657
87446d441ffffff,2021-08-15,1,110.0,0.4821927311443657
87446d441ffffff,2021-08-28,15,110.0,0.4821927311443657
87446d441ffffff,2021-10-02,2,110.0,0.4821927311443657
87446d441ffffff,2021-12-05,20,110.0,0.4821927311443657
87446d441ffffff,2021-12-09,3,110.0,0.4821927311443657
87446d441ffffff,2021-12-28,3,110.0,0.4821927311443657
87446d441ffffff,2022-01-01,5,110.0,0.4821927311443657
87446d441ffffff,2022-02-27,4,110.0,0.4821927311443657
87446d441ffffff,2022-04-30,5,110.0,0.4821927311443657
87446d441ffffff,2022-08-13,11,110.0,0.4821927311443657
87446d441ffffff,2022-08-18,2,110.0,0.4821927311443657
87446d441ffffff,2022-08-25,2,110.0,0.4821927311443657
87446d441ffffff,2022-09-10,19,110.0,0.4821927311443657
87446d441ffffff,2023-02-12,5,110.0,0.4821927311443657
87446d441ffffff,2023-02-18,3,110.0,0.4821927311443657
87446d441ffffff,2023-04-08,2,110.0,0.4821927311443657
87446d441ffffff,2023-04-25,6,110.0,0.4821927311443657
87446d441ffffff,2023-05-06,1,110.0,0.4821927311443657
87446d441ffffff,2023-10-29,17,110.0,0.4821927311443657
87446d441ffffff,2023-11-05,2,110.0,0.4821927311443657
87446d441ffffff,2024-04-21,5,110.0,0.4821927311443657
87446d441ffffff,2024-05-01,12,110.0,0.4821927311443657
87446d441ffffff,2024-09-06,1,110.0,0.4821927311443657
87446d441ffffff,2024-09-21,2,110.0,0.4821927311443657
87446d442ffffff,2018-06-17,7,109.0,0.43969556312589453
87446d442ffffff,2018-09-29,24,109.0,0.43969556312589453
87446d442ffffff,2018-12-06,2,109.0,0.43969556312589453
87446d442ffffff,2018-12-23,6,109.0,0.43969556312589453
87446d442ffffff,2019-02-09,3,109.0,0.43969556312589453
87446d442ffffff,2019-03-01,13,109.0,0.43969556312589453
87446d442ffffff,2019-06-11,6,109.0,0.43969556312589453
87446d442ffffff,2019-07-20,5,109.0,0.43969556312589453
87446d442ffffff,2019-08-11,15,109.0,0.43969556312589453
87446d442ffffff,2019-12-14,11,109.0,0.43969556312589453
87446d442ffffff,2020-03-22,18,109.0,0.43969556312589453
87446d442ffffff,2020-04-09,33,109.0,0.43969556312589453
87446d442ffffff,2020-04-16,3,109.0,0.43969556312589453
87446d442ffffff,2020-08-05,24,109.0,0.43969556312589453
87446d442ffffff,2020-08-25,9,109.0,0.43969556312589453
87446d442ffffff,2020-10-08,7,109.0,0.43969556312589453
87446d442ffffff,2020-12-12,24,109.0,0.43969556312589453
87446d442ffffff,2020-12-27,27,109.0,0.43969556312589453
87446d442ffffff,2021-01-02,4,109.0,0.43969556312589453
87446d442ffffff,2021-01-13,25,109.0,0.43969556312589453
87446d442ffffff,2021-02-21,6,109.0,0.43969556312589453
87446d442ffffff,2021-04-15,3,109.0,0.43969556312589453
87446d442ffffff,2021-06-08,38,109.0,0.43969556312589453
87446d442ffffff,2021-07-11,19,109.0,0.43969556312589453
87446d442ffffff,2021-08-20,6,109.0,0.43969556312589453
87446d442ffffff,2021-11-14,26,109.0,0.43969556312589453
87446d442ffffff,2021-12-15,12,109.0,0.43969556312589453
87446d442ffffff,2022-01-22,19,109.0,0.43969556312589453
87446d442ffffff,2022-02-09,3,109.0,0.43969556312589453
87446d442ffffff,2022-04-14,2,109.0,0.43969556312589453
87446d442ffffff,2022-05-07,19,109.0,0.43969556312589453
87446d442ffffff,2022-06-02,22,109.0,0.43969556312589453
87446d442ffffff,2022-06-18,2,109.0,0.43969556312589453
87446d442ffffff,2022-08-20,7,109.0,0.43969556312589453
87446d442ffffff,2022-08-31,29,109.0,0.43969556312589453
87446d442ffffff,2022-09-03,4,109.0,0.43969556312589453
87446d442ffffff,2022-09-16,16,109.0,0.43969556312589453
87446d442ffffff,2022-10-22,4,109.0,0.43969556312589453
87446d442ffffff,2023-01-08,6,109.0,0.43969556312589453
87446d442ffffff,2023-02-20,3,109.0,0.43969556312589453
87446d442ffffff,2023-03-11,4,109.0,0.43969556312589453
87446d442ffffff,2023-04-14,9,109.0,0.43969556312589453
87446d442ffffff,2023-04-28,16,109.0,0.43969556312589453
87446d442ffffff,2023-09-17,1,109.0,0.43969556312589453
87446d442ffffff,2023-11-12,40,109.0,0.43969556312589453
87446d442ffffff,2023-12-03,14,109.0,0.43969556312589453
87446d442ffffff,2024-01-04,6,109.0,0.43969556312589453
87446d442ffffff,2024-03-05,3,109.0,0.43969556312589453
87446d442ffffff,2024-03-27,3,109.0,0.43969556312589453
87446d442ffffff,2024-04-25,7,109.0,0.43969556312589453
87446d442ffffff,2024-08-31,3,109.0,0.43969556312589453
87446d442ffffff,2024-09-26,28,109.0,0.43969556312589453
87446d442ffffff,2024-11-07,5,109.0,0.43969556312589453
87446d443ffffff,2018-09-30,11,135.0,1.5446219316061467
87446d443ffffff,2019-11-03,4,135.0,1.5446219316061467
87446d443ffffff,2020-04-16,3,135.0,1.5446219316061467
87446d443ffffff,2020-10-08,3,135.0,1.5446219316061467
87446d443ffffff,2020-12-27,5,135.0,1.5446219316061467
87446d443ffffff,2021-01-20,18,135.0,1.5446219316061467
87446d443ffffff,2021-11-14,1,135.0,1.5446219316061467
87446d443ffffff,2021-12-05,8,135.0,1.5446219316061467
87446d443ffffff,2023-02-12,5,135.0,1.5446219316061467
87446d443ffffff,2024-01-06,3,135.0,1.5446219316061467
87446d446ffffff,2018-12-23,2,97.0,-0.07027045309576034
87446d446ffffff,2019-09-07,2,97.0,-0.07027045309576034
87446d446ffffff,2020-04-16,1,97.0,-0.07027045309576034
87446d446ffffff,2021-01-02,2,97.0,-0.07027045309576034
87446d446ffffff,2021-01-13,2,97.0,-0.07027045309576034
87446d446ffffff,2021-06-19,19,97.0,-0.07027045309576034
87446d446ffffff,2021-10-23,3,97.0,-0.07027045309576034
87446d446ffffff,2021-12-26,10,97.0,-0.07027045309576034
87446d446ffffff,2022-05-08,9,97.0,-0.07027045309576034
87446d446ffffff,2023-01-14,9,97.0,-0.07027045309576034
87446d446ffffff,2023-04-02,1,97.0,-0.07027045309576034
87446d446ffffff,2023-11-19,21,97.0,-0.07027045309576034
87446d446ffffff,2024-01-01,15,97.0,-0.07027045309576034
87446d448ffffff,2018-09-23,11,123.0,1.0346559153844919
87446d448ffffff,2018-10-20,1,123.0,1.0346559153844919
87446d448ffffff,2018-11-11,1,123.0,1.0346559153844919
87446d448ffffff,2018-12-17,2,123.0,1.0346559153844919
87446d448ffffff,2019-06-29,4,123.0,1.0346559153844919
87446d448ffffff,2019-11-01,5,123.0,1.0346559153844919
87446d448ffffff,2020-03-26,1,123.0,1.0346559153844919
87446d448ffffff,2020-04-06,8,123.0,1.0346559153844919
87446d448ffffff,2020-07-28,2,123.0,1.0346559153844919
87446d448ffffff,2020-09-25,6,123.0,1.0346559153844919
87446d448ffffff,2020-12-03,2,123.0,1.0346559153844919
87446d448ffffff,2020-12-24,4,123.0,1.0346559153844919
87446d448ffffff,2021-01-09,12,123.0,1.0346559153844919
87446d448ffffff,2021-03-21,6,123.0,1.0346559153844919
87446d448ffffff,2021-06-02,5,123.0,1.0346559153844919
87446d448ffffff,2021-10-02,2,123.0,1.0346559153844919
87446d448ffffff,2021-10-13,4,123.0,1.0346559153844919
87446d448ffffff,2021-12-09,2,123.0,1.0346559153844919
87446d448ffffff,2021-12-10,1,123.0,1.0346559153844919
87446d448ffffff,2022-02-27,1,123.0,1.0346559153844919
87446d448ffffff,2022-03-09,4,123.0,1.0346559153844919
87446d448ffffff,2022-05-14,2,123.0,1.0346559153844919
87446d448ffffff,2022-08-25,1,123.0,1.0346559153844919
87446d448ffffff,2022-09-07,12,123.0,1.0346559153844919
87446d448ffffff,2023-01-11,8,123.0,1.0346559153844919
87446d448ffffff,2023-02-04,1,123.0,1.0346559153844919
87446d448ffffff,2023-04-08,4,123.0,1.0346559153844919
87446d448ffffff,2023-04-25,2,123.0,1.0346559153844919
87446d448ffffff,2023-05-06,7,123.0,1.0346559153844919
87446d448ffffff,2023-11-05,2,123.0,1.0346559153844919
87446d448ffffff,2023-12-17,9,123.0,1.0346559153844919
87446d448ffffff,2024-01-27,6,123.0,1.0346559153844919
87446d448ffffff,2024-02-09,4,123.0,1.0346559153844919
87446d448ffffff,2024-03-03,3,123.0,1.0346559153844919
87446d448ffffff,2024-04-13,1,123.0,1.0346559153844919
87446d448ffffff,2024-04-21,7,123.0,1.0346559153844919
87446d448ffffff,2024-05-01,1,123.0,1.0346559153844919
87446d448ffffff,2024-05-04,2,123.0,1.0346559153844919
87446d44cffffff,2018-03-15,1,133.0,1.4596275955692042
87446d44cffffff,2018-05-23,7,133.0,1.4596275955692042
87446d44cffffff,2018-06-22,2,133.0,1.4596275955692042
87446d44cffffff,2018-09-23,27,133.0,1.4596275955692042
87446d44cffffff,2018-10-20,2,133.0,1.4596275955692042
87446d44cffffff,2018-11-11,2,133.0,1.4596275955692042
87446d44cffffff,2018-12-17,2,133.0,1.4596275955692042
87446d44cffffff,2019-02-16,2,133.0,1.4596275955692042
87446d44cffffff,2019-04-09,7,133.0,1.4596275955692042
87446d44cffffff,2019-06-29,7,133.0,1.4596275955692042
87446d44cffffff,2019-09-21,3,133.0,1.4596275955692042
87446d44cffffff,2019-11-18,4,133.0,1.4596275955692042
87446d44cffffff,2019-12-24,3,133.0,1.4596275955692042
87446d44cffffff,2020-02-08,5,133.0,1.4596275955692042
87446d44cffffff,2020-03-08,2,133.0,1.4596275955692042
87446d44cffffff,2020-03-18,4,133.0,1.4596275955692042
87446d44cffffff,2020-03-26,5,133.0,1.4596275955692042
87446d44cffffff,2020-04-06,8,133.0,1.4596275955692042
87446d44cffffff,2020-04-11,1,133.0,1.4596275955692042
87446d44cffffff,2020-04-20,8,133.0,1.4596275955692042
87446d44cffffff,2020-05-10,3,133.0,1.4596275955692042
87446d44cffffff,2020-05-20,7,133.0,1.4596275955692042
87446d44cffffff,2020-06-03,10,133.0,1.4596275955692042
87446d44cffffff,2020-06-27,3,133.0,1.4596275955692042
87446d44cffffff,2020-07-28,1,133.0,1.4596275955692042
87446d44cffffff,2020-08-21,3,133.0,1.4596275955692042
87446d44cffffff,2020-09-06,1,133.0,1.4596275955692042
87446d44cffffff,2020-09-25,35,133.0,1.4596275955692042
87446d44cffffff,2020-11-05,2,133.0,1.4596275955692042
87446d44cffffff,2020-11-19,1,133.0,1.4596275955692042
87446d44cffffff,2020-12-03,3,133.0,1.4596275955692042
87446d44cffffff,2021-01-09,6,133.0,1.4596275955692042
87446d44cffffff,2021-03-21,9,133.0,1.4596275955692042
87446d44cffffff,2021-06-02,2,133.0,1.4596275955692042
87446d44cffffff,2021-10-02,7,133.0,1.4596275955692042
87446d44cffffff,2021-10-13,13,133.0,1.4596275955692042
87446d44cffffff,2021-11-17,2,133.0,1.4596275955692042
